1,1,119.9,379.6,111.2,249.2,0.870,-1,-1,-1
1,4,221.5,379.0,106.4,289.5,0.828,-1,-1,-1
1,5,328.8,380.7,116.0,271.6,0.774,-1,-1,-1
1,6,832.7,371.6,113.2,297.4,0.483,-1,-1,-1
2,1,119.9,379.5,111.4,249.6,0.870,-1,-1,-1
2,4,221.5,379.1,106.6,289.6,0.824,-1,-1,-1
2,5,328.8,380.6,116.0,271.6,0.774,-1,-1,-1
2,6,838.5,370.2,109.0,311.8,0.473,-1,-1,-1
3,1,119.9,379.5,111.3,249.4,0.871,-1,-1,-1
3,4,221.5,379.1,106.8,289.3,0.821,-1,-1,-1
3,5,328.8,380.6,116.0,271.7,0.780,-1,-1,-1
3,6,838.3,370.2,109.2,311.3,0.468,-1,-1,-1
4,1,119.9,379.5,111.3,250.1,0.868,-1,-1,-1
4,4,221.5,379.1,106.8,289.0,0.820,-1,-1,-1
4,5,328.8,380.7,115.9,271.8,0.781,-1,-1,-1
4,6,830.4,371.3,115.5,296.6,0.468,-1,-1,-1
5,1,117.7,382.3,112.6,249.9,0.908,-1,-1,-1
5,4,222.7,381.5,106.4,287.0,0.798,-1,-1,-1
5,5,326.8,381.7,117.3,271.4,0.783,-1,-1,-1
6,1,117.6,382.2,112.6,250.2,0.907,-1,-1,-1
6,4,222.7,381.4,106.4,287.2,0.798,-1,-1,-1
6,5,326.8,381.6,117.3,271.4,0.783,-1,-1,-1
7,1,117.6,382.3,112.7,250.3,0.907,-1,-1,-1
7,4,222.8,381.4,106.3,287.1,0.797,-1,-1,-1
7,5,326.7,381.6,117.5,271.4,0.784,-1,-1,-1
8,1,117.5,382.2,112.7,250.0,0.908,-1,-1,-1
8,4,222.8,381.4,106.3,286.8,0.798,-1,-1,-1
8,5,326.8,381.6,117.4,271.3,0.783,-1,-1,-1
9,1,116.2,385.0,114.0,251.4,0.912,-1,-1,-1
9,5,326.0,382.7,116.6,270.9,0.783,-1,-1,-1
9,4,225.0,382.4,105.2,285.0,0.736,-1,-1,-1
10,1,116.1,384.9,114.0,251.3,0.913,-1,-1,-1
10,5,326.0,382.7,116.6,270.9,0.782,-1,-1,-1
10,4,225.1,382.3,105.3,285.0,0.727,-1,-1,-1
11,1,116.0,385.2,114.2,250.0,0.914,-1,-1,-1
11,5,325.9,382.7,116.6,270.8,0.783,-1,-1,-1
11,4,225.0,382.3,105.2,285.3,0.733,-1,-1,-1
12,1,116.1,385.2,114.0,251.1,0.912,-1,-1,-1
12,5,326.0,382.8,116.6,270.8,0.783,-1,-1,-1
12,4,225.0,382.3,105.2,285.1,0.732,-1,-1,-1
13,1,116.2,384.8,110.5,254.2,0.906,-1,-1,-1
